Hol halt meg II. Lajos 1526-ban? ; konnyu ; Mohács
Hol kötöttek békét 1711-ben a Rákoczi felkelők? ; konnyu ; Szatmárnémeti
Hol történt csata 907-ben a pogány magyarok és az európai keresztények között? ; konnyu ; Pozsony 
Melyik híres várunkat foglalta el az Oszmán birodalom 1541-ben csellel? ; konnyu ; Buda
Hol találkozott 3 király 1335-ben? ; konnyu ; Visegrad
Hol csatázott 1241-ben IV. Béla király a mongolokkal ; konnyu ; Muhi
Hol történt egyik leghíresebb várostromunk 1552-ben, amely magyar győzelemmel zárult? ; kozepes ; Eger
Vár, melynek ostroma közben halt meg I. Szulejmán szultán? ; kozepes; Szigetvár
Hol tűnt el Petőfi Sándor? ; nehez ; Segesvár
Melyik város volt az Erdélyi fejedelmség fővárosa 1570 és 1692 között? ; nehez ; Gyulafehérvár
Az Osztrák-Magyar-Monarchia részeként melyik volt magyarország legjelentősebb kikötővárosa? ; nehez ; Fiume
Hova építettet egyetemet I. Nagy Lajos király 1367-ben? ; nehez ; Pécs 	
Hol tartotta fogva Mátyás király Drakula grófot? ; nehez ; Visegrad
